,\texttt{+},\texttt{-},\texttt{*},\texttt{/},\texttt{**},\texttt{(},\texttt{)},\texttt{<},\texttt{>},\texttt{<=},\texttt{>=},\texttt{!=},\texttt{==},\texttt{in},\texttt{notin},\texttt{and},\texttt{or},\texttt{not},\text{i},\texttt{\$}
\texttt{+},>,>,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,<,>
\texttt{-}\footnote{Binární minus},>,>,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,<,>
\texttt{*},>,>,>,>,<,<,>,>,>,>,>,>,>,>,>,>,>,>,<,>
\texttt{/},>,>,>,>,<,<,>,>,>,>,>,>,>,>,>,>,>,>,<,>
\texttt{**},>,>,>,>,>,<,>,>,>,>,>,>,>,>,>,>,>,>,<,>
\texttt{(},<,<,<,<,<,<,=,<,<,<,<,<,<,<,<,<,<,<,<,
\texttt{)},>,>,>,>,>,,>,>,>,>,>,>,>,>,>,>,>,>,,>
\texttt{<},<,<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,<,>
\texttt{>},<,<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,<,>
\texttt{<=},<,<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,<,>
\texttt{>=},<,<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,<,>
\texttt{!=},<,<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,<,>
\texttt{==},<,<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,<,>
\texttt{in},<,<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,<,>
\texttt{notin},<,<,<,<,<,<,>,>,>,>,>,>,>,>,>,>,>,>,<,>
\texttt{and},<,<,<,<,<,<,>,<,<,<,<,<,<,<,<,>,>,<,<,>
\texttt{or},<,<,<,<,<,<,>,<,<,<,<,<,<,<,<,>,>,<,<,>
\texttt{not},<,<,<,<,<,<,>,<,<,<,<,<,<,<,<,>,>,<,<,>
\texttt{-}\footnote{Unární minus},>,>,>,>,>,<,>,>,>,>,>,>,>,>,>,>,>,>,<,>
\text{i},>,>,>,>,>,f\footnote{Volání funkce},>,>,>,>,>,>,>,>,>,>,>,>,,>
\texttt{\$},<,<,<,<,<,<,,<,<,<,<,<,<,<,<,<,<,<,<,
